state_abbr,municipio_name,pop,pop_male,pop_female,afromexican,indigenous,metro_area
AGS,Aguascalientes,877190,425731,451459,532,104125,Aguascalientes
AGS,Asientos,46464,22745,23719,3,1691,NA
AGS,Calvillo,56048,27298,28750,10,7358,NA
AGS,Cosío,15577,7552,8025,0,2213,NA
AGS,Jesús María,120405,60135,60270,32,8679,Aguascalientes
AGS,Pabellón de Arteaga,46473,22490,23983,3,6232,NA
AGS,Rincón de Romos,53866,26693,27173,13,6714,NA
AGS,San José de Gracia,8896,4276,4620,13,1733,NA
AGS,Tepezalá,20926,10197,10729,4,3468,NA
AGS,El Llano,20245,9982,10263,0,936,NA
AGS,San Francisco de los Romo,46454,22992,23462,43,10246,Aguascalientes
BC,Ensenada,486639,243180,243459,1139,87804,NA
BC,Mexicali,988417,490894,497523,351,45956,Mexicali
BC,Tecate,102406,51267,51139,186,12812,Tijuana
BC,Tijuana,1641570,816738,824832,5392,126618,Tijuana
BC,Playas de Rosarito,96734,48262,48472,377,9865,Tijuana
BCS,Comondú,72564,36413,36151,111,11275,NA
BCS,Mulegé,60171,31114,29057,6379,9405,NA
BCS,La Paz,272711,133983,138728,1199,33902,NA
BCS,Los Cabos,287671,147981,139690,3321,46719,NA
BCS,Loreto,18912,9646,9266,22,1733,NA
CAMP,Calkiní,56537,27658,28879,16,50632,NA
CAMP,Campeche,283025,135405,147620,515,115523,NA
CAMP,Carmen,248303,122035,126268,2093,59958,NA
CAMP,Champotón,90244,44925,45319,327,50853,NA
CAMP,Hecelchakán,31230,15470,15760,0,25257,NA
CAMP,Hopelchén,40100,20371,19729,9,29624,NA
CAMP,Palizada,8971,4522,4449,2,2463,NA
CAMP,Tenabo,10665,5419,5246,3,9602,NA
CAMP,Escárcega,58553,28886,29667,97,21138,NA
CAMP,Calakmul,28424,14509,13915,224,19297,NA
CAMP,Candelaria,43879,22076,21803,268,16464,NA
COAH,Abasolo,1015,511,504,0,34,NA
COAH,Acuña,147809,73560,74249,112,5723,NA
COAH,Allende,22654,11203,11451,5,290,NA
COAH,Arteaga,23271,11726,11545,378,2193,Saltillo
COAH,Candela,1720,903,817,0,72,NA
COAH,Castaños,28068,13903,14165,0,848,Monclova-Frontera
COAH,Cuatro Ciénegas,13546,6793,6753,8,923,NA
COAH,Escobedo,3077,1557,1520,0,73,NA
COAH,Francisco I. Madero,58360,28863,29497,14,4415,NA
COAH,Frontera,80991,40477,40514,11,4669,Monclova-Frontera
COAH,General Cepeda,12471,6439,6032,1,1080,NA
COAH,Guerrero,1697,891,806,0,130,NA
COAH,Hidalgo,1565,813,752,6,9,NA
COAH,Jiménez,10243,5154,5089,1,182,NA
COAH,Juárez,1574,822,752,0,21,NA
COAH,Lamadrid,1773,905,868,7,36,NA
COAH,Matamoros,108950,54141,54809,6,10766,La Laguna
COAH,Monclova,231107,113720,117387,57,15807,Monclova-Frontera
COAH,Morelos,8599,4379,4220,0,263,NA
COAH,Múzquiz,69102,34921,34181,1152,2159,NA
COAH,Nadadores,6614,3286,3328,0,570,NA
COAH,Nava,30698,15613,15085,2,1317,Piedras Negras
COAH,Ocampo,11671,6040,5631,130,885,NA
COAH,Parras,44799,22797,22002,10,4366,NA
COAH,Piedras Negras,163595,81575,82020,187,12104,Piedras Negras
COAH,Progreso,3304,1714,1590,0,50,NA
COAH,Ramos Arizpe,92828,47275,45553,38,8800,Saltillo
COAH,Sabinas,63522,31856,31666,0,1018,NA
COAH,Sacramento,2360,1178,1182,1,112,NA
COAH,Saltillo,807537,400370,407167,506,56973,Saltillo
COAH,San Buenaventura,23587,11683,11904,0,543,NA
COAH,San Juan de Sabinas,43232,21026,22206,34,1778,NA
COAH,San Pedro,106142,52285,53857,7,7127,NA
COAH,Sierra Mojada,6988,3584,3404,0,143,NA
COAH,Torreón,679288,329932,349356,86,57034,La Laguna
COAH,Viesca,21549,10903,10646,0,1779,NA
COAH,Villa Unión,6352,3253,3099,0,92,NA
COAH,Zaragoza,13257,6561,6696,2,506,NA
COL,Armería,29599,14768,14831,12,7134,Tecomán
COL,Colima,150673,72783,77890,76,23033,Colima-Villa de Álvarez
COL,Comala,21544,10737,10807,8,11771,Colima-Villa de Álvarez
COL,Coquimatlán,20198,10175,10023,5,437,Colima-Villa de Álvarez
COL,Cuauhtémoc,30198,15194,15004,24,5113,Colima-Villa de Álvarez
COL,Ixtlahuacán,5527,2774,2753,2,4114,NA
COL,Manzanillo,184541,92362,92179,453,40704,NA
COL,Minatitlán,8985,4689,4296,5,4899,NA
COL,Tecomán,123191,61315,61876,76,20262,Tecomán
COL,Villa de Álvarez,136779,65994,70785,101,27830,Colima-Villa de Álvarez
CHPS,Acacoyagua,18082,9082,9000,2,1152,NA
CHPS,Acala,31424,15388,16036,0,3297,NA
CHPS,Acapetahua,28380,14139,14241,149,2394,NA
CHPS,Altamirano,32872,16323,16549,2,28859,NA
CHPS,Amatán,19348,9729,9619,0,7697,NA
