mes,total,nal_subcompactos,nal_compactos,nal_de_lujo,nal_deportivos,importados,año
Enero,75624,21048,18380,0,0,36196,2016
Febrero,70884,17368,17676,0,0,35840,2016
Marzo,75259,18646,18865,0,0,37748,2016
Abril,76557,20661,16971,0,0,38925,2016
Mayo,77689,19798,17093,0,0,40798,2016
Junio,88990,23611,21058,0,0,44321,2016
Julio,89204,22670,22185,0,0,44349,2016
Agosto,91518,24415,22720,0,0,44383,2016
Septiembre,86397,22963,21035,0,0,42399,2016
Octubre,85988,21620,21458,0,0,42910,2016
Noviembre,100417,28642,24283,0,0,47492,2016
Diciembre,124907,33919,32092,0,0,58896,2016
Enero,79615,17581,18727,0,0,43307,2017
Febrero,76393,17637,18365,0,0,40391,2017
Marzo,86879,21220,21428,0,0,44231,2017
Abril,70554,16096,16596,0,0,37862,2017
Mayo,75636,17876,17415,0,0,40345,2017
Junio,80753,19352,21533,0,0,39868,2017
Julio,76612,17782,19469,0,0,39361,2017
Agosto,77305,18972,17440,0,0,40893,2017
Septiembre,70696,17224,16357,0,0,37115,2017
Octubre,74003,17618,17061,0,0,39324,2017
Noviembre,88846,18235,22290,0,0,48321,2017
Diciembre,96101,19506,21426,7,0,55162,2017
Enero,64323,11262,16624,5,0,36432,2018
Febrero,66233,11619,16068,2,0,38544,2018
Marzo,71732,11436,18066,3,0,42227,2018
Abril,66649,9439,16233,3,0,40974,2018
Mayo,68461,9434,16690,5,0,42332,2018
Junio,71095,10525,16132,3,0,44435,2018
Julio,70117,9858,15653,9,0,44597,2018
Agosto,72582,10243,17509,3,0,44827,2018
Septiembre,68835,9516,17065,6,0,42248,2018
Octubre,69649,9672,16814,23,0,43140,2018
Noviembre,80618,10272,18908,16,0,51422,2018
Diciembre,85606,12093,18090,24,0,55399,2018
Enero,67353,10593,14679,10,0,42071,2019
Febrero,60720,10189,13963,13,0,36555,2019
Marzo,66480,10661,15007,13,0,40799,2019
Abril,55447,8531,11212,3,0,35701,2019
Mayo,60129,8855,12242,10,0,39022,2019
Junio,63255,9180,13343,9,0,40723,2019
Julio,62003,9129,13461,10,0,39403,2019
Agosto,62284,9677,13275,13,0,39319,2019
Septiembre,57315,8992,10568,32,0,37723,2019
Octubre,61737,8765,15560,71,0,37341,2019
Noviembre,69781,9824,17229,38,0,42690,2019
Diciembre,77671,10180,18242,61,0,49188,2019
Enero,61592,8246,15573,41,0,37732,2020
Febrero,61843,8789,16592,60,0,36402,2020
Marzo,48565,8369,14039,62,0,26095,2020
Abril,18660,3097,5198,20,0,10345,2020
Mayo,21952,3736,5827,24,0,12365,2020
Junio,35071,5099,9614,70,0,20288,2020
Julio,41126,6005,11742,93,0,23286,2020
Agosto,43892,6990,12089,85,0,24728,2020
Septiembre,43223,7667,12180,74,0,23302,2020
Octubre,45630,7105,14648,75,0,23802,2020
Noviembre,53301,7917,16634,101,0,28649,2020
